instance,solver,status,time_sec,num_fp
model_001,PFVS,solved,270.88,471040
model_002,PFVS,timeout,0.22,NA
model_003,PFVS,solved,0.17,3
model_004,PFVS,timeout,0.27,NA
model_005,PFVS,solved,0.17,0
model_006,PFVS,solved,0.17,72
model_007,PFVS,solved,0.12,2
model_008,PFVS,solved,0.16,27
model_009,PFVS,solved,0.87,4096
model_010,PFVS,solved,0.11,6
model_011,PFVS,solved,0.17,16
model_012,PFVS,solved,0.22,104
model_013,PFVS,solved,0.17,4
model_014,PFVS,solved,1.22,172
model_015,PFVS,solved,0.12,2
model_016,PFVS,solved,5.28,16384
model_017,PFVS,solved,1.07,2050
model_018,PFVS,timeout,1800.00,NA
model_019,PFVS,solved,1.97,28672
model_020,PFVS,solved,0.17,0
model_021,PFVS,solved,0.17,10
model_022,PFVS,solved,0.17,58
model_023,PFVS,solved,0.17,1
model_024,PFVS,solved,0.17,20
model_025,PFVS,solved,0.87,82
model_026,PFVS,solved,0.17,0
model_027,PFVS,solved,2.79,13056
model_028,PFVS,solved,0.17,256
model_029,PFVS,solved,0.11,4
model_030,PFVS,solved,0.17,64
model_031,PFVS,solved,0.11,1
model_032,PFVS,solved,0.16,7
model_033,PFVS,solved,19.92,1672
model_034,PFVS,solved,10.60,2363
model_035,PFVS,solved,0.27,253
model_036,PFVS,solved,0.27,274
model_037,PFVS,solved,3.62,702
model_038,PFVS,solved,48.21,3185
model_039,PFVS,solved,141.44,9856
model_040,PFVS,solved,0.17,33
model_041,PFVS,solved,82.41,10088
model_042,PFVS,solved,0.16,1024
model_043,PFVS,solved,0.17,3
model_044,PFVS,solved,0.17,6
model_045,PFVS,solved,0.22,8192
model_046,PFVS,solved,0.22,30
model_047,PFVS,solved,0.17,512
model_048,PFVS,solved,8.74,345152
model_049,PFVS,solved,0.11,1
model_050,PFVS,timeout,0.22,NA
model_051,PFVS,solved,0.22,2
model_052,PFVS,solved,0.17,640
model_053,PFVS,solved,0.12,6
model_054,PFVS,solved,0.11,3
model_055,PFVS,solved,0.16,3
model_056,PFVS,timeout,545.54,NA
model_057,PFVS,solved,0.38,0
model_058,PFVS,solved,0.17,0
model_059,PFVS,solved,0.32,83
model_060,PFVS,solved,0.27,36
model_061,PFVS,solved,0.22,2
model_062,PFVS,solved,0.42,294
model_063,PFVS,solved,0.17,9
model_064,PFVS,solved,0.17,40
model_065,PFVS,solved,0.22,9
model_066,PFVS,solved,0.77,2720
model_067,PFVS,solved,0.17,17
model_068,PFVS,solved,0.16,16
model_069,PFVS,solved,0.17,0
model_070,PFVS,solved,0.22,12
model_071,PFVS,solved,0.42,16384
model_072,PFVS,solved,328.88,60324
model_073,PFVS,solved,0.22,21
model_074,PFVS,solved,0.17,1
model_075,PFVS,solved,0.72,0
model_076,PFVS,solved,0.17,15
model_077,PFVS,solved,0.77,2048
model_078,PFVS,timeout,0.22,NA
model_079,PFVS,timeout,7.49,NA
model_080,PFVS,solved,9.35,49152
model_081,PFVS,solved,0.17,4
model_082,PFVS,solved,211.36,97792
model_083,PFVS,solved,125.16,2460
model_084,PFVS,timeout,1800.00,NA
model_085,PFVS,solved,0.39,20
model_086,PFVS,solved,0.16,9
model_087,PFVS,timeout,0.16,NA
model_088,PFVS,solved,0.12,3
model_089,PFVS,solved,0.16,12
