Instance,fASP_conj,fASP_src,Hybrid_BMSA,PFVS
001,66.60,113.75,3.05,270.88
002,2.58,1.52,2.70,TIMEOUT
003,0.09,0.09,1.68,0.17
004,OUT_OF_MEMORY,TIMEOUT,34.05,TIMEOUT
005,0.10,0.10,1.91,0.17
006,0.10,0.09,1.82,0.17
007,0.09,0.08,1.58,0.12
008,0.10,0.09,1.70,0.16
009,0.20,0.15,2.07,0.87
010,0.09,0.09,1.61,0.11
011,0.10,0.09,1.78,0.17
012,0.10,0.11,1.93,0.22
013,0.10,0.09,1.68,0.17
014,0.10,0.10,2.07,1.22
015,0.09,0.08,1.57,0.12
016,0.82,0.11,2.06,5.28
017,0.14,0.35,1.81,1.07
018,TIMEOUT,24.64,3.52,TIMEOUT
019,1.09,0.11,1.99,1.97
020,0.10,0.09,1.76,0.17
021,0.09,0.09,1.61,0.17
022,0.10,0.10,1.69,0.17
023,0.10,0.10,1.65,0.17
024,0.10,0.10,1.73,0.17
025,0.11,0.10,2.02,0.87
026,0.10,0.09,1.75,0.17
027,0.24,0.10,1.68,2.79
028,0.09,0.09,1.59,0.17
029,0.09,0.10,1.56,0.11
030,0.09,0.10,1.62,0.17
031,0.09,0.09,1.66,0.11
032,0.10,0.09,1.75,0.16
033,0.11,0.11,1.74,19.92
034,0.12,0.11,1.78,10.60
035,0.10,0.10,1.68,0.27
036,0.10,0.09,1.73,0.27
037,0.10,0.10,1.63,3.62
038,0.13,0.15,1.79,48.21
039,2.05,0.13,2.39,141.44
040,0.09,0.09,1.65,0.17
041,0.63,0.18,2.31,82.41
042,0.11,0.11,1.75,0.16
043,0.09,0.09,1.75,0.17
044,0.09,0.09,1.72,0.17
045,0.17,0.13,1.64,0.22
046,0.10,0.13,1.93,0.22
047,0.09,0.09,1.59,0.17
048,10.25,12.96,1.81,8.74
049,0.09,0.09,1.62,0.11
050,OUT_OF_MEMORY,TIMEOUT,261.21,TIMEOUT
051,0.10,0.11,1.94,0.22
052,0.11,0.11,1.70,0.17
053,0.09,0.09,1.69,0.12
054,0.10,0.10,1.83,0.11
055,0.10,0.09,1.79,0.16
056,OUT_OF_MEMORY,0.92,2.02,TIMEOUT
057,0.09,0.09,1.76,0.38
058,0.10,0.09,1.80,0.17
059,0.11,0.11,1.84,0.32
060,0.11,0.12,2.44,0.27
061,0.09,0.10,1.76,0.22
062,0.09,0.10,1.78,0.42
063,0.08,0.09,1.61,0.17
064,0.09,0.09,1.60,0.17
065,0.10,0.09,1.98,0.22
066,0.14,0.13,1.80,0.77
067,0.09,0.10,1.54,0.17
068,0.09,0.09,1.70,0.16
069,0.09,0.09,1.67,0.17
070,0.10,0.10,1.80,0.22
071,0.36,0.30,1.71,0.42
072,2.12,5.57,2.02,328.88
073,0.10,0.09,1.86,0.22
074,0.10,0.09,1.65,0.17
075,0.10,0.11,2.69,0.72
076,0.10,0.09,1.79,0.17
077,0.15,0.11,1.91,0.77
078,18.03,3.06,2.68,TIMEOUT
079,227.71,221.42,ERROR,TIMEOUT
080,2.23,0.47,2.13,9.35
081,0.09,0.09,1.79,0.17
082,5.75,1.21,2.37,211.36
083,0.29,0.20,2.94,125.16
084,OUT_OF_MEMORY,3.02,2.06,TIMEOUT
085,0.10,0.10,1.73,0.39
086,0.09,0.10,1.98,0.16
087,OUT_OF_MEMORY,8.35,2.60,TIMEOUT
088,0.09,0.09,1.57,0.12
089,0.11,0.11,2.31,0.16
090,0.09,0.10,1.78,0.16
091,0.10,0.10,1.98,0.17
092,0.11,0.11,1.90,8.29
093,1.30,0.69,2.09,7.64
094,0.11,0.12,1.68,0.16
095,0.09,0.10,1.66,0.11
096,0.09,0.09,1.74,0.11
097,0.09,0.09,1.54,0.11
098,0.18,0.16,1.73,0.26
099,0.09,0.09,1.72,0.16
100,0.10,0.10,1.65,0.12
101,OUT_OF_MEMORY,4.71,2.19,TIMEOUT
102,0.09,0.10,1.67,0.17
103,0.10,0.09,1.88,0.16
104,0.09,0.09,1.72,0.12
105,0.10,0.09,1.85,2.64
106,OUT_OF_MEMORY,10.98,2.08,TIMEOUT
107,0.10,0.09,1.79,0.17
108,0.09,0.09,1.77,0.17
109,0.09,0.08,1.55,0.11
110,0.09,0.09,1.56,0.11
111,0.50,0.12,1.65,0.31
112,OUT_OF_MEMORY,11.65,4.11,TIMEOUT
113,OUT_OF_MEMORY,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
114,OUT_OF_MEMORY,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
115,18.44,1.11,1.80,4.70
116,OUT_OF_MEMORY,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
117,44.79,10.68,1.76,11.95
118,OUT_OF_MEMORY,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
119,0.09,0.18,1.60,0.22
120,OUT_OF_MEMORY,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
121,27.17,0.65,1.84,12.21
122,OUT_OF_MEMORY,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
123,33.77,32.17,1.77,8.23
124,OUT_OF_MEMORY,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
125,OUT_OF_MEMORY,5.84,1.93,TIMEOUT
126,125.09,15.35,1.67,431.60
127,OUT_OF_MEMORY,522.50,9.81,TIMEOUT
128,OUT_OF_MEMORY,1.96,68.06,TIMEOUT
129,0.09,0.09,1.66,0.12
130,OUT_OF_MEMORY,91.30,106.08,TIMEOUT
131,0.29,0.17,1.65,0.22
132,83.17,1.37,2.26,30.07
133,0.09,0.09,1.60,0.12
134,0.10,0.10,1.76,0.11
135,0.09,0.09,1.69,0.12
136,0.09,0.09,1.70,0.11
137,0.15,0.12,1.87,0.21
138,0.30,0.11,1.67,0.21
139,0.11,0.09,1.71,0.42
140,73.54,13.70,2.03,TIMEOUT
141,0.10,0.09,1.82,0.11
142,0.10,0.10,2.11,0.37
143,OUT_OF_MEMORY,TIMEOUT,3.20,TIMEOUT
144,OUT_OF_MEMORY,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
145,0.16,0.10,1.98,0.11
146,9.17,5.22,8.87,TIMEOUT
147,0.17,0.10,1.86,1.02
148,0.17,0.11,2.06,0.32
149,0.11,0.10,1.88,0.11
150,0.16,0.10,1.72,0.11
151,0.21,0.22,3.63,TIMEOUT
152,0.94,0.57,4.89,114.02
153,0.09,0.11,1.66,0.12
154,0.10,0.10,1.79,0.16
155,TIMEOUT,TIMEOUT,2.30,TIMEOUT
156,1.39,1.66,1.93,13.26
157,OUT_OF_MEMORY,TIMEOUT,21.17,TIMEOUT
158,0.13,0.16,1.72,0.12
159,2.83,4.60,7.28,76.77
160,23.96,4.37,2.36,TIMEOUT
161,0.11,0.18,2.18,0.17
162,0.10,0.17,1.76,0.17
163,0.12,0.18,1.87,1.02
164,0.12,0.23,1.80,0.32
165,0.09,0.15,1.58,0.11
166,0.13,0.18,1.69,0.16
167,10.58,15.70,2.52,181.04
168,0.09,0.15,1.75,0.12
169,0.09,0.15,1.66,0.11
170,0.12,0.16,1.67,0.11
171,0.09,0.16,1.65,0.12
172,0.09,0.15,1.55,0.11
173,0.64,1.96,1.88,0.87
174,0.09,0.15,1.71,0.11
175,0.15,0.21,2.01,10.09
176,0.11,0.18,2.03,0.32
177,0.10,0.18,2.05,0.17
178,0.10,0.16,1.73,0.11
179,0.15,0.32,2.25,3.33
180,0.09,0.16,1.70,0.12
181,0.10,0.17,1.92,0.16
182,0.10,0.18,1.94,0.17
183,0.10,0.17,1.95,0.17
184,0.09,0.16,1.58,0.12
185,0.10,0.16,1.80,0.11
186,0.09,0.16,1.75,0.11
187,0.10,0.16,1.81,0.16
188,0.15,0.25,2.09,13.10
189,0.09,0.15,1.62,0.12
190,0.10,0.16,1.81,0.17
191,0.10,0.15,1.78,0.11
192,0.13,0.22,2.46,TIMEOUT
193,0.10,0.17,2.01,0.17
194,OUT_OF_MEMORY,991.77,4.17,TIMEOUT
195,OUT_OF_MEMORY,TIMEOUT,29.90,TIMEOUT
196,0.11,0.12,2.37,0.27
197,0.26,0.25,3.03,TIMEOUT
198,0.09,0.10,1.64,0.11
199,0.09,0.10,1.77,0.17
200,0.10,0.09,1.80,0.17
201,0.10,0.09,1.76,0.11
202,0.09,0.10,1.78,0.11
203,0.10,0.10,2.09,0.17
204,0.11,0.10,2.13,0.21
205,0.10,0.09,1.91,0.16
206,0.10,0.10,1.79,0.12
207,0.95,0.14,2.56,TIMEOUT
208,0.09,0.09,1.60,0.12
209,0.11,0.11,2.43,TIMEOUT
210,0.11,0.10,2.36,3.07
211,0.11,0.12,2.62,TIMEOUT
212,0.09,0.09,1.63,0.17
213,0.15,0.13,1.89,0.22
214,27.24,1.92,2.03,8.74
215,OUT_OF_MEMORY,82.45,2.16,TIMEOUT
216,4.29,1.72,1.86,1.77
217,OUT_OF_MEMORY,501.58,4.14,TIMEOUT
218,OUT_OF_MEMORY,109.71,574.84,TIMEOUT
219,OUT_OF_MEMORY,TIMEOUT,24.19,TIMEOUT
220,OUT_OF_MEMORY,TIMEOUT,TIMEOUT,TIMEOUT
221,OUT_OF_MEMORY,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
222,OUT_OF_MEMORY,296.88,TIMEOUT,TIMEOUT
223,OUT_OF_MEMORY,439.07,4.44,TIMEOUT
224,0.13,0.11,1.99,17.97
225,151.12,6.45,2.02,167.26
226,0.12,0.09,1.84,0.77
227,OUT_OF_MEMORY,6.11,3.63,TIMEOUT
228,0.10,0.10,1.88,0.22
229,0.10,0.10,1.87,0.17
230,0.10,0.10,1.80,0.17
