Instance,fASP_conj,fASP_src,Hybrid_BMSA,PFVS
100_4379_60916,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
101_4590_37682,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
102_3371_20188,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
103_4718_36821,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
104_1859_10117,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
105_1208_5852,OUT_OF_MEMORY,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
106_3107_15638,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
107_2914_40558,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
108_1042_5461,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
109_1476_7742,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
10_1881_17747,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
110_2045_10753,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
111_2386_31855,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
112_1856_5960,OUT_OF_MEMORY,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
113_2522_26814,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
114_1479_7098,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
115_3884_51742,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
116_1433_7017,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
117_2602_12910,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
118_1472_8800,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
119_979_5518,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
11_1280_18165,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
120_3690_26267,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
121_1002_8553,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
122_4688_43349,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
123_3846_37946,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
124_2183_12938,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
125_2338_20154,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
126_1391_9266,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
127_4625_35537,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
128_4780_46675,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
129_1284_4244,OUT_OF_MEMORY,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
12_3335_33709,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
130_3610_17497,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
131_2704_18393,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
132_4774_66065,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
133_2554_25933,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
134_2831_27955,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
135_3845_40672,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
136_4497_29470,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
137_2521_29336,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
138_2581_33912,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
139_4032_30996,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
13_1367_7324,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
140_3115_25318,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
141_2196_27570,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
142_3485_20636,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
143_4115_31409,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
144_2061_17620,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
145_1526_8092,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
146_4874_56335,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
147_3913_25928,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
148_2741_18472,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
149_3411_50185,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
14_4076_31715,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
150_3925_38816,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
151_1484_20586,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
152_3458_27134,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
153_3412_19583,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
154_2257_30401,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
155_2815_29751,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
156_4886_41640,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
157_2081_18306,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
158_1882_12161,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
159_3222_24409,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
15_4508_43236,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
160_1937_27467,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
161_2516_19487,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
162_2660_20441,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
163_2283_22643,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
164_1004_9183,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
165_1503_9148,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
166_1846_15763,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
167_3873_52381,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
168_4852_56067,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
169_2928_14027,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
16_1627_9550,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
170_2113_28077,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
171_3919_49464,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
172_3992_35006,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
173_2388_18313,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
174_1339_17795,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
175_1162_15439,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
176_2083_11243,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
177_2899_21272,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
178_1615_22457,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
179_3800_46065,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
17_3627_31874,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
180_1112_5292,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
181_4188_30864,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
182_3816_22958,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
183_1575_16001,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
184_1948_13150,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
185_4802_47701,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
186_2512_20548,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
187_1329_18371,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
188_2660_14198,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
189_2291_24177,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
18_2216_14198,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
190_1760_7630,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
191_3216_38950,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
192_4020_25795,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
193_4646_23242,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
194_1175_11464,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
195_4379_35795,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
196_2807_14009,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
197_4679_41068,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
198_3390_25087,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
199_3789_27793,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
19_3565_21639,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
1_3249_43408,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
200_2451_15900,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
201_3570_23723,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
202_1583_10824,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
203_3156_26835,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
204_2302_24412,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
205_1474_6290,0.44,0.47,4.00,TIMEOUT
206_2604_36302,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
207_1632_8033,0.53,0.52,4.38,TIMEOUT
208_1662_13613,0.78,0.79,5.32,TIMEOUT
209_4046_31260,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
20_3776_20788,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
210_2794_15771,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
211_3353_16070,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
212_2951_22911,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
213_3371_28694,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
214_2781_25525,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
215_1356_7032,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
216_1802_10239,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
217_1202_16614,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
218_1747_6784,OUT_OF_MEMORY,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
219_3001_31843,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
21_3657_20816,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
220_2712_24794,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
221_3919_42861,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
222_2668_21981,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
223_3090_20564,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
224_2750_16485,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
225_4056_54611,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
226_1993_26426,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
227_3961_27074,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
228_3990_35155,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
229_2672_18263,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
22_2410_18587,TIMEOUT,TIMEOUT,OUT_OF_MEMORY,TIMEOUT
230_1628_7880,0.52,0.51,4.56,TIMEOUT
