Instance,fASP_conj,fASP_src,Hybrid_BMSA,PFVS
100_4379_60916,,,,
101_4590_37682,,,,
102_3371_20188,,,,
103_4718_36821,,,,
104_1859_10117,,,,
105_1208_5852,,,,
106_3107_15638,,,,
107_2914_40558,,,,
108_1042_5461,,,,
109_1476_7742,,,,
10_1881_17747,,,,
110_2045_10753,,,,
111_2386_31855,,,,
112_1856_5960,,,,
113_2522_26814,,,,
114_1479_7098,,,,
115_3884_51742,,,,
116_1433_7017,,,,
117_2602_12910,,,,
118_1472_8800,,,,
119_979_5518,,,,
11_1280_18165,,,,
120_3690_26267,,,,
121_1002_8553,,,,
122_4688_43349,,,,
123_3846_37946,,,,
124_2183_12938,,,,
125_2338_20154,,,,
126_1391_9266,,,,
127_4625_35537,,,,
128_4780_46675,,,,
129_1284_4244,,,,
12_3335_33709,,,,
130_3610_17497,,,,
131_2704_18393,,,,
132_4774_66065,,,,
133_2554_25933,,,,
134_2831_27955,,,,
135_3845_40672,,,,
136_4497_29470,,,,
137_2521_29336,,,,
138_2581_33912,,,,
139_4032_30996,,,,
13_1367_7324,,,,
140_3115_25318,,,,
141_2196_27570,,,,
142_3485_20636,,,,
143_4115_31409,,,,
144_2061_17620,,,,
145_1526_8092,,,,
146_4874_56335,,,,
147_3913_25928,,,,
148_2741_18472,,,,
149_3411_50185,,,,
14_4076_31715,,,,
150_3925_38816,,,,
151_1484_20586,,,,
152_3458_27134,,,,
153_3412_19583,,,,
154_2257_30401,,,,
155_2815_29751,,,,
156_4886_41640,,,,
157_2081_18306,,,,
158_1882_12161,,,,
159_3222_24409,,,,
15_4508_43236,,,,
160_1937_27467,,,,
161_2516_19487,,,,
162_2660_20441,,,,
163_2283_22643,,,,
164_1004_9183,,,,
165_1503_9148,,,,
166_1846_15763,,,,
167_3873_52381,,,,
168_4852_56067,,,,
169_2928_14027,,,,
16_1627_9550,,,,
170_2113_28077,,,,
171_3919_49464,,,,
172_3992_35006,,,,
173_2388_18313,,,,
174_1339_17795,,,,
175_1162_15439,,,,
176_2083_11243,,,,
177_2899_21272,,,,
178_1615_22457,,,,
179_3800_46065,,,,
17_3627_31874,,,,
180_1112_5292,,,,
181_4188_30864,,,,
182_3816_22958,,,,
183_1575_16001,,,,
184_1948_13150,,,,
185_4802_47701,,,,
186_2512_20548,,,,
187_1329_18371,,,,
188_2660_14198,,,,
189_2291_24177,,,,
18_2216_14198,,,,
190_1760_7630,,,,
191_3216_38950,,,,
192_4020_25795,,,,
193_4646_23242,,,,
194_1175_11464,,,,
195_4379_35795,,,,
196_2807_14009,,,,
197_4679_41068,,,,
198_3390_25087,,,,
199_3789_27793,,,,
19_3565_21639,,,,
1_3249_43408,,,,
200_2451_15900,,,,
201_3570_23723,,,,
202_1583_10824,,,,
203_3156_26835,,,,
204_2302_24412,,,,
205_1474_6290,0*,0*,0*,
206_2604_36302,,,,
207_1632_8033,0*,0*,0*,
208_1662_13613,0*,0*,0*,
209_4046_31260,,,,
20_3776_20788,,,,
210_2794_15771,,,,
211_3353_16070,,,,
212_2951_22911,,,,
213_3371_28694,,,,
214_2781_25525,,,,
215_1356_7032,,,,
216_1802_10239,,,,
217_1202_16614,,,,
218_1747_6784,,,,
219_3001_31843,,,,
21_3657_20816,,,,
220_2712_24794,,,,
221_3919_42861,,,,
222_2668_21981,,,,
223_3090_20564,,,,
224_2750_16485,,,,
225_4056_54611,,,,
226_1993_26426,,,,
227_3961_27074,,,,
228_3990_35155,,,,
229_2672_18263,,,,
22_2410_18587,,,,
230_1628_7880,0*,0*,0*,
231_4357_31736,,,,
232_1977_26222,,,,
233_1695_10141,,,,
234_2979_18461,,,,
235_1154_11962,,,,
236_4024_34286,,,,
237_990_8073,,,,
238_2759_16663,0*,0*,0*,
239_3595_18708,0*,0*,0*,
23_2557_27124,,,,
240_2888_16545,,,,
241_1702_6205,,,,
242_2807_36868,,,,
243_4077_27745,,,,
244_3011_29749,,,,
245_1253_12026,,,,
246_2729_14749,,,,
247_2416_23941,,,,
248_2176_32059,,,,
249_2170_21463,,,,
24_3449_37732,,,,
250_4754_47139,,,,
251_1390_10768,,,,
252_1488_20657,,,,
253_2802_26287,,,,
