instance,solver,status,time_sec,num_fp
100_4379_60916,PFVS,timeout,22.72,NA
101_4590_37682,PFVS,timeout,14.90,NA
102_3371_20188,PFVS,timeout,5.18,NA
103_4718_36821,PFVS,timeout,20.03,NA
104_1859_10117,PFVS,timeout,1.27,NA
105_1208_5852,PFVS,timeout,0.67,NA
106_3107_15638,PFVS,timeout,3.62,NA
107_2914_40558,PFVS,timeout,7.11,NA
108_1042_5461,PFVS,timeout,0.62,NA
109_1476_7742,PFVS,timeout,0.92,NA
10_1881_17747,PFVS,timeout,1.97,NA
110_2045_10753,PFVS,timeout,4.21,NA
111_2386_31855,PFVS,timeout,5.08,NA
112_1856_5960,PFVS,timeout,0.92,NA
113_2522_26814,PFVS,timeout,4.03,NA
114_1479_7098,PFVS,timeout,0.92,NA
115_3884_51742,PFVS,timeout,19.52,NA
116_1433_7017,PFVS,timeout,0.87,NA
117_2602_12910,PFVS,timeout,4.98,NA
118_1472_8800,PFVS,timeout,1.02,NA
119_979_5518,PFVS,timeout,0.57,NA
11_1280_18165,PFVS,timeout,1.32,NA
120_3690_26267,PFVS,timeout,8.49,NA
121_1002_8553,PFVS,timeout,0.62,NA
122_4688_43349,PFVS,timeout,17.77,NA
123_3846_37946,PFVS,timeout,14.11,NA
124_2183_12938,PFVS,timeout,1.92,NA
125_2338_20154,PFVS,timeout,3.12,NA
126_1391_9266,PFVS,timeout,1.02,NA
127_4625_35537,PFVS,timeout,12.65,NA
128_4780_46675,PFVS,timeout,25.11,NA
129_1284_4244,PFVS,timeout,0.62,NA
12_3335_33709,PFVS,timeout,8.54,NA
130_3610_17497,PFVS,timeout,7.75,NA
131_2704_18393,PFVS,timeout,3.99,NA
132_4774_66065,PFVS,timeout,33.90,NA
133_2554_25933,PFVS,timeout,4.03,NA
134_2831_27955,PFVS,timeout,5.88,NA
135_3845_40672,PFVS,timeout,12.90,NA
136_4497_29470,PFVS,timeout,13.97,NA
137_2521_29336,PFVS,timeout,3.98,NA
138_2581_33912,PFVS,timeout,6.38,NA
139_4032_30996,PFVS,timeout,9.99,NA
13_1367_7324,PFVS,timeout,0.82,NA
140_3115_25318,PFVS,timeout,7.23,NA
141_2196_27570,PFVS,timeout,3.02,NA
142_3485_20636,PFVS,timeout,7.74,NA
143_4115_31409,PFVS,timeout,11.05,NA
144_2061_17620,PFVS,timeout,2.82,NA
145_1526_8092,PFVS,timeout,0.92,NA
146_4874_56335,PFVS,timeout,30.40,NA
147_3913_25928,PFVS,timeout,6.93,NA
148_2741_18472,PFVS,timeout,5.01,NA
149_3411_50185,PFVS,timeout,11.85,NA
14_4076_31715,PFVS,timeout,10.14,NA
150_3925_38816,PFVS,timeout,13.78,NA
151_1484_20586,PFVS,timeout,1.62,NA
152_3458_27134,PFVS,timeout,6.84,NA
153_3412_19583,PFVS,timeout,5.43,NA
154_2257_30401,PFVS,timeout,4.38,NA
155_2815_29751,PFVS,timeout,6.28,NA
156_4886_41640,PFVS,timeout,22.98,NA
157_2081_18306,PFVS,timeout,2.07,NA
158_1882_12161,PFVS,timeout,1.87,NA
159_3222_24409,PFVS,timeout,6.54,NA
15_4508_43236,PFVS,timeout,19.92,NA
160_1937_27467,PFVS,timeout,2.83,NA
161_2516_19487,PFVS,timeout,2.92,NA
162_2660_20441,PFVS,timeout,4.23,NA
163_2283_22643,PFVS,timeout,3.12,NA
164_1004_9183,PFVS,timeout,0.72,NA
165_1503_9148,PFVS,timeout,1.17,NA
166_1846_15763,PFVS,timeout,1.83,NA
167_3873_52381,PFVS,timeout,21.96,NA
168_4852_56067,PFVS,timeout,33.73,NA
169_2928_14027,PFVS,timeout,2.92,NA
16_1627_9550,PFVS,timeout,1.07,NA
170_2113_28077,PFVS,timeout,3.88,NA
171_3919_49464,PFVS,timeout,19.84,NA
172_3992_35006,PFVS,timeout,11.20,NA
173_2388_18313,PFVS,timeout,3.23,NA
174_1339_17795,PFVS,timeout,1.37,NA
175_1162_15439,PFVS,timeout,1.02,NA
176_2083_11243,PFVS,timeout,1.72,NA
177_2899_21272,PFVS,timeout,4.28,NA
178_1615_22457,PFVS,timeout,2.07,NA
179_3800_46065,PFVS,timeout,17.79,NA
17_3627_31874,PFVS,timeout,9.94,NA
180_1112_5292,PFVS,timeout,0.52,NA
181_4188_30864,PFVS,timeout,14.21,NA
182_3816_22958,PFVS,timeout,8.14,NA
183_1575_16001,PFVS,timeout,1.37,NA
184_1948_13150,PFVS,timeout,1.47,NA
185_4802_47701,PFVS,timeout,25.56,NA
186_2512_20548,PFVS,timeout,4.28,NA
187_1329_18371,PFVS,timeout,1.37,NA
188_2660_14198,PFVS,timeout,2.87,NA
189_2291_24177,PFVS,timeout,3.98,NA
18_2216_14198,PFVS,timeout,2.12,NA
190_1760_7630,PFVS,timeout,0.92,NA
191_3216_38950,PFVS,timeout,9.14,NA
192_4020_25795,PFVS,timeout,7.99,NA
193_4646_23242,PFVS,timeout,8.75,NA
194_1175_11464,PFVS,timeout,0.97,NA
195_4379_35795,PFVS,timeout,15.67,NA
196_2807_14009,PFVS,timeout,2.72,NA
197_4679_41068,PFVS,timeout,17.31,NA
198_3390_25087,PFVS,timeout,8.88,NA
199_3789_27793,PFVS,timeout,9.80,NA
19_3565_21639,PFVS,timeout,6.04,NA
1_3249_43408,PFVS,timeout,10.74,NA
200_2451_15900,PFVS,timeout,4.97,NA
201_3570_23723,PFVS,timeout,6.49,NA
202_1583_10824,PFVS,timeout,1.27,NA
203_3156_26835,PFVS,timeout,7.45,NA
204_2302_24412,PFVS,timeout,3.28,NA
205_1474_6290,PFVS,timeout,0.72,NA
206_2604_36302,PFVS,timeout,6.58,NA
207_1632_8033,PFVS,timeout,1.12,NA
208_1662_13613,PFVS,timeout,1.55,NA
209_4046_31260,PFVS,timeout,15.11,NA
20_3776_20788,PFVS,timeout,7.09,NA
210_2794_15771,PFVS,timeout,3.33,NA
211_3353_16070,PFVS,timeout,4.63,NA
